参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,书名,章节名称
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松忽地问道，“你今天让韩山鹊做的事情如何了？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰笑道：“不出意外，学府中那些陆家子弟，都已经被擒下！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,薛白松提醒道：“咱们天河学府毕竟代表大乾官方，记得要依照大乾律令，给他们安排个合理合规的‘罪名’。”,1,,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“这是自然。”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰道，“府主放心，我保证做得滴水不漏，哪怕钦天司的人来了，也挑不出任何毛病！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松感叹道：“说起来，也多亏昨天那陆夜诈尸还魂，强夺陆家族长权柄，打乱了潘家的谋划，才给了我们上桌吃肉的机会。”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“嘿嘿，这么说的话，我们还真得感谢一下陆二少！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,李长峰调侃道，“没有他搅局，岂有我们的机会？,1,,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他和薛白松对视一眼，都不禁大笑起来，大殿内充满快活的气息。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,冷不丁地，一道尖利惊慌的大叫声在大殿外响起。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“府主大人，不好了！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一个侍卫匆匆而来，将发生在刑律堂的血腥事情和盘托出。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜！,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,那小家伙竟然杀进了天河学府？,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松差点怀疑听错，问道，“是否还有其他人和他一起？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“没有！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“他人如今在何处？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“他……他去了演武场，并且闹出很大动静，说是要把府主和大长老的丑陋罪行揭发，昭告天下！,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松心中一紧，意识到不妙。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,须知，针对陆家子弟的事情根本见不得光。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一旦被陆夜大肆宣扬，消息注定瞒不住。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,若闹得满城风雨，大乾官方必然不会冷眼旁观！,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“此子还真是嚣张！”,1,,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰咬牙，杀气腾腾，“趁此机会，必须将其擒下！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“走，带其他长老一起，去演武场！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松下达命令。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,演武场。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,刚下过一场狂风暴雨，天光染透云层，瑰丽如梦幻。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,演武场中央。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,陆平手握棒槌和铜锣，哐哐哐地敲打着，声音扩散很远，显得很是热闹。,1,,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,许许多多天河学府的学生，早已被吸引而来，围拢在演武场附近。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“那家伙就是诈尸还魂的陆夜？他竟如此年轻！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“他这是要做甚？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“没看出来吗，在鸣冤呢！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,在人们视野中，玄衣佩刀的陆夜双手负背，立在演武场中央，挺拔修长的身影傲立，沐浴天光之下。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,不过，最引人瞩目的却不是陆夜。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而是跪在陆夜身前的两个人。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,分别是刑律堂执事韩山鹊、教习李拓。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,两人浑身是血，伤痕累累，凄凄惨惨如阶下囚。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆平一边敲锣，一边悲愤地慷慨陈词，把刑律堂发生的事情一一说出。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,除此，还痛斥府主薛白松和首席长老李长峰勾结，枉顾大乾律令，故意坑害陆家子弟……,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,那跪伏在地的韩山鹊、李拓二人，便是为虎作伥的爪牙。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这一幕，在场中引发轰动，哗然声此起彼伏响起。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“昏睡三年才刚醒来，我实在想不明白，他为何要这么做，就那点修为，还能翻天不成？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,很多人无法理解陆夜的举动。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这实在太疯狂，和自取灭亡都没区别。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“不过，府主和首席长老的做法也的确太过分，哪有这么欺负人的？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,有人为陆家子弟的遭遇愤愤不平。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“堂哥，咱们是不是太高调了？”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆平压低声音问，感觉很刺激，也很紧张。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“我也想低调，可咱们陆家如今的处境，根本不允许我低调啊！”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜轻语，“再说了，今天咱们若不把事情闹大，怎能惊动大乾官方？至于后果，你无须担心。”,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他看向一侧位置，那里是演武场最中央，立着一块高有九尺的青铜鼎。,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,此鼎名唤“百炼”，原本并不属于天河学府，反倒和陆家大有渊源！,2,,万仙来朝,第12章 得加钱
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,此鼎名唤“百炼”，原本并不属于天河学府，反倒和陆家大有渊源！,2,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,凝视着百炼鼎上那宛如蚯蚓般细密的纹理，陆夜心中一阵感慨。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,以前的陆家，因为有二叔陆星移在，称得上春秋鼎盛，压得天河郡城各大势力只能低头。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,谁能想象，如今的陆家，竟已沦落到岌岌可危的地步？,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“二叔虽不在，可还有我！”,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜心中轻语。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,今日陆家子弟的遭遇，让他意识到，必须得做点事了。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“听我号令，把演武场封锁！不得让任何人离开！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,蓦地，一声大喝响彻云霄。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,天穹下，一道身影脚踏虹光，破空而来，气势汹汹。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,赫然是首席长老李长峰。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,随着抵达，一股强大威压如飓风般扩散而开。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,演武场附近的学生全都变色。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,同一时间，一支隶属于天河学府的护卫队伍汇聚而来。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,恰似黑云压境，将演武场围拢得水泄不通。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜要完了！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这一刻，那些看热闹的学生皆冒出同样的想法。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,闯出这么大的祸事，学府那些大人物岂能轻饶？,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“他娘的，只敲了一下锣鼓而已，怎么把那些个老家伙都招惹来了？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆平倒吸凉气。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,在他视野中，不止是首席长老李长峰，府主薛白松和学府其他长老，竟然全都来了！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“别担心，接下来你只需看着便可。”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜语气随意，他负手于背，环顾全场，仪态从容如旧。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“陆夜，你擅闯学府，行凶伤人，还妖言惑众，诋毁学府，简直胆大包天，罪该万死！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,首席长老李长峰一声暴喝，身影直接朝陆夜掠去。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,锵！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜拔刀出鞘，刀尖抵在李拓咽喉，“你敢过来，我就先宰了你孙子。”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“你……”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰顿时止步，怒目圆睁。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“陆夜，放了韩山鹊和李拓，我可以保证，给你一条活路！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,府主薛白松开口了。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他一袭紫袍，头戴玉冠，一手捋须，威仪十足。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,在他附近，那些学府长老皆冷冷盯着陆夜，身上显露出可怖的威压。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他们一眼看出，陆夜还没有踏足紫府境。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,纵使陆夜依旧像当年那样逆天，可对他们而言，也和蝼蚁没区别！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜抬眼看向薛白松，声传全场，“当年发誓报恩，如今却恩将仇报，这就是你薛白松的行事作风？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,多年前，陆星移曾救过薛白松一命这件事，在天河郡城并非什么秘密。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“陆星移的救命之恩，我从来没忘！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松神色威严道，“但，这可不是欠你陆夜的恩情，更不是欠你们陆家的恩情，奉劝你一句，休想挟恩自重！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜并未着恼，冷冷道：“知恩不报也就罢了，可你别忘了，你是大乾官方钦定的府主，又为何不顾大乾律令，安排爪牙，大肆迫害我陆家子弟？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一番话，扩散全场，让许多人神色发生变化。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一些学生看向薛白松的眼神，已带上怀疑。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“我薛白松行事，何须跟你解释？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松眼神蓦地变得冷厉，“陆夜，你已闯下滔天大祸，若再负隅顽抗，休怪我不客气！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“哦？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜笑起来，眼神却愈发冰冷，“记住，我已经给过你解释的机会，以后你就是跪下求我，也没机会了！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“冥顽不灵！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松神色淡漠，大喝道，“听我号令，一起动手，拿下此獠，他若敢擅杀人质，一切归罪于陆家！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“是！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰和那些长老轰然应诺。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“慢着！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,蓦地，一道暴喝响起。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“我那聪慧懂事的学生，怎么就成了你们喊打喊杀的罪徒！”,5,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,伴随声音，一道魁梧高大的身影破空而来。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,此人须发潦草，一袭陈旧长袍，气息霸烈雄浑。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,场中众人全都认出，那是天河学府九长老，袁坤！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“袁教习？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜一怔。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,在天河学府修行那些年，袁坤专门负责传授他学业。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,袁坤性情如火，雷厉风行，视陆夜如亲生子侄，天天挂嘴边的话就是——,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“小子，你只需专心修炼，其他的事统统不必理会！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“只要学府中有的资源，全都满足你，学府中没有的，我豁出性命也要为你争取到手！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“只要你出息了，老子脸上也添光彩！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,袁坤是这么说的，也是这么做的，在那些年着实帮了陆夜不少忙。,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而此时，在明知道陆家遭遇大难的情况下，袁坤却仍然不惜冒着得罪府主的后果，站了出来！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这让陆夜如何不动容？,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“九长老，这里没你的事，速速退下！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松脸色一沉，怒斥开口，“否则，定要拿你问罪！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“还拿老子问罪？我可去你妈的吧！”,2,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,袁坤破口大骂，“老子话撂在这，今天就是卸职不干，豁出性命，也要保住陆夜！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松脸色阴沉下去。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他再懒得废话，直接下令，“首席长老，你们一起去请九长老离开！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“好！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,李长峰率和其他长老一起出动，围攻袁坤。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“艹你们姥姥的，老脸都不要了是吧？”,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,袁坤大怒。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他遭受围攻，纵然拼命，都无力突围。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,可他犹自破口大骂，愤然大叫：“天河学府是大乾的学府，不是你薛白松的！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“一帮该挨雷劈的老混蛋，天河学府的脸都被你们丢光了！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,……,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,同一时间，薛白松也已出动，迈步朝陆夜逼近。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,那一身属于金台境的恐怖威压，排山倒海般席卷过去，覆盖陆夜全身。,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“陆夜，你现在收手还来得及。”,2,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松一边迈步，一边开口，“否则，别怪我不顾念你二叔的情谊！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,轰！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,虚空乱颤，薛白松身上金芒流转，凝聚出一道厚重神秘的道意法相。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,那等威势，让不知多少人心惊肉跳。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,在整个天河学府，拥有金台境后期修为的府主薛白松，无疑是最强大的那个。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,没有之一！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,便是放眼天河郡城，修为比他高的也屈指可数。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这样一位存在，去对付一个还未踏足紫府境的少年，完全不费吹灰之力。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,可出乎意料，陆夜并未因此惊慌。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,也并未再拿人质进行威胁。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他只是把左手轻轻按在了身后那一座“百炼鼎”上，运转一道独门秘诀。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,嗡！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,青铜鼎产生轰鸣，表面无数宛如蚯蚓般的纹理忽然亮起瑰丽的符纹光雨。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,这是？,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,演武场四周，所有人敏锐注意到，随着百炼鼎轰鸣，整个演武场的地面出现一层神秘的禁阵波纹！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而在陆夜脚下，无数符纹流转，和他一身气机完美契合，产生如潮汐般的共鸣。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,恍惚间，人们皆产生错觉，仿佛陆夜整个人和整个演武场融合为一！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆平精神一振，原来陆夜堂哥真正的后手在这里，怪不得如此有恃无恐！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松却嗤地一声笑出来，“这就是你的底牌？”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“实话告诉你，当你选择在演武场耀武扬威的时候，我便已料到你会借助‘百炼鼎’所铭刻的‘天武灵阵’力量。”,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“而我要破此阵，易如反掌！”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,声音还在回荡，薛白松抬手祭出一把铜锤。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,铜锤覆盖着奇异秘文，爆绽璀璨神辉，朝地面狠狠一砸。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,轰！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,恰似在湖泊中心砸落一座巨山。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,覆盖演武场地面上的那一层禁阵波纹轰然爆碎，迸溅出无数光焰。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜身后的百炼鼎更是剧烈震颤，发出哀鸣，表面亮起的符纹光雨竟是彻底暗淡下去！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜身影一个踉跄，遭受到冲击，气血翻腾。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“百炼鼎的秘密，你怎会知道？”,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜皱眉，心中掀起波澜。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,多年前，二叔陆星移把百炼鼎赠给了天河学府，有此鼎充当阵眼，镇压演道场中，可聚拢天地灵气，对修行大有裨益。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而只有陆家嫡系清楚，只需运转一道独门秘法，这座百炼鼎铭刻的阵法道纹，就能衍化为一座名唤“天武灵阵”的杀阵！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,之前，陆夜就是把此阵视作依仗，本打算杀薛白松等人一个措手不及。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,不曾想，薛白松竟然早已识破。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,并且轻松就破了此阵！,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“我知道的事情，远比你想象中更多。”,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,薛白松唇边泛起一抹讥讽。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他步履从容，继续朝陆夜逼近。,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“现在，没了百炼鼎，你区区一个还未踏足紫府境的小东西，拿什么和我斗？”,1,,万仙来朝,第13章 陆夜的底牌
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“现在，没了百炼鼎，你区区一个还未踏足紫府境的小东西，拿什么和我斗？”,1,,万仙来朝,第14章 红袍遮天三千里
