参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,每一个封印，皆藏有一位祖师所留的遗物。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,有遗嘱、传承、信物、宝物等等。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,感受着那十九颗星辰的气息，陆夜思绪如飞。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,昏睡那三年，在“九狱剑图”不可思议的作用下，陆夜以神魂的方式，进入到一座神秘战场中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,那里是灵苍界的“域外战场”。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,血腥如炼狱。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在那三年，陆夜是唯一一个进入域外战场的“小辈”。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,他以“斥候”的身份踏遍尸山血海，见证了灵苍界修道者和域外神魔之间的大战，是何等残酷血腥。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,也结识了很多患难与共的同袍，和一大批灵苍界最顶尖的祖师成为莫逆之交。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,那三年，陆夜就像一只跳出井外的青蛙，蓦然发现，井口外边的天穹如此之广袤浩瀚、光怪陆离。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他的见识和眼光，发生翻天覆地的变化。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,心志和气魄，更是在血与火的残酷熬炼中得到脱胎换骨的洗礼!
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“老家伙们，你们可以放心了，我陆夜已活着从域外战场回来！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你们的遗愿，我以后自会一一去完成。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“那些血仇，我也断不会忘！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心中喃喃。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,域外战场是一个极为特殊的地方。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,灵苍界阵营和域外神魔阵营之间的大战，持续了上百年之久。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些年，灵苍界共有八百万修士战死，上百个道统的祖师级人物殒命！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一战一旦输掉，整个灵苍界便会沦为域外神魔的盘中餐！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在陆夜的神魂返回之前，这一场大战才终于落下帷幕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,从域外降临的神魔大军尽数覆亡！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而灵苍界这边，仅剩下的十九位祖师也全部罹难！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,整个域外战场，只有陆夜一人活着归来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,如今悬挂在陆夜识海中的十九个星辰，便是那十九位祖师战死前所留。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很快，陆夜收敛思绪，专注于自身修行中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,伴随着一道风雷般的气机轰鸣响起，陆夜一身修为开始不断跌落下去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,半个时辰后。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜的修为从最初的引灵境第九重，跌落到引灵境第一重之下。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一身修为，等于被自己硬生生废掉！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,身体丹田内，仅仅只剩下一股翻涌如洪流的真元之力。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不破不立，破而后立！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“那些老家伙说的不错，我才刚踏上引灵境，还有从头再来的机会，若是突破到紫府境界，可就再没这样的机会了……”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,引灵境是修行第一境，分作九重。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,淬炼的是皮、肉、筋、骨、血、脏腑、穴窍、经络、神魂。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,此境是修行之始。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我以前的大道根基虽然雄厚，在同龄中称得上卓绝，可终究只局限在大乾境内，就像一只井底之蛙。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,见过大世面后，陆夜才深刻意识到，什么大乾奇才榜、十四岁的武道状元，终究只局限在大乾国内。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,放眼整个灵苍界，他这点成就完全不够看。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而这，也正是陆夜自废修为，重新修炼的原因所在。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“开始吧！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜摒弃杂念，开始重新修炼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,修炼的是一篇名为《混洞九锻经》的道门传承，号称灵苍界三大奇经之一！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这门秘法，来自灵苍界扶摇道宗祖师顾剑庐。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,顾剑庐和陆夜是忘年交，陆夜识海中的十九个祖师封印之一，便是顾剑庐所留。,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而像这样的祖师级传承，陆夜身上还有很多……,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜之所以选择修炼《混洞九锻经》，是那十九位祖师给出的共同建议。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,他们认为，在修炼最初的阶段，这门传承能够为陆夜筑下举世无双的大道根基！,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一身气机轰鸣沸腾。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,体内直似有一座混洞漩涡在转动，汇聚在丹田的真元之力随之运转起来，一身修为随之缓缓提升。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,引灵第一重、第二重、第三重……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,直至两个时辰后，陆夜丹田内汇聚的所有真元彻底炼化一空。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,然而，他的修为才堪堪突破至引灵境第四重。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,相比以前最巅峰时，足足差了五重。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,可陆夜却清楚感受到，重修后的引灵第四重修为，要远胜于以前的引灵第九重修为！,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这个发现，让陆夜都感到震惊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,由此可见，作为灵苍界三大奇功之一的《混洞九锻经》，是何等神妙！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“嗯？这是……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很快，陆夜察觉到，从体内四肢百骸之地，竟缓缓涌现出一道道纯厚澎湃的暖流。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那赫然是各种稀罕灵药的力量，之前贮藏在体内，如今随着陆夜修炼涌现出来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“难道说，在我昏睡这三年，家族担心我殒命，于是炼化许多灵药来帮我‘吊命’？”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“必然如此！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“否则，这些灵药的力量怎会无缘无故出现在我体内？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜猜出原因，心中暖烘烘的。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,原来昏睡这三年，宗族从不曾放弃过自己！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,接下来，陆夜沉浸在修行中，浑然忘我。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,自然也不知道，在他右手掌心纹理中，那一幅神秘的九狱剑图悄然浮现。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,若放大仔细看，图案中那丝丝缕缕的混沌光雾逐渐散开，清晰地显现出九座混沌般的牢狱！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个个大若深渊，各自覆盖在一层禁忌般的封印中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而那一道道封印，一如秩序锁链！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,直至天亮时，陆夜的修为突破到灵引境第六重。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一夜间，破而后立，修为连破六层！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,和以前相比，境界虽低了三层，但实力早已天壤之别。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“该去找我那未来岳父谈一谈了……”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,当天早上，陆夜就离开宗族，前往赊月楼。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“姐，陆老二出发了！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,同样的清晨，潘云锋来找姐姐潘盈袖，兴奋道，“果然不出你所料，那家伙真的去找秦无伤算账了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖微笑道：“陆老二性子骄横，做事不顾后果，当他得知赊月楼被他未来岳父霸占时，自然咽不下这口气！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,昨天在陆家灵堂，陆夜霸道地夺得家主之位，也让她的计划落空，心中也憋屈无比。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,当时她之所以选择退让，一是因为察觉到死而复生后的陆夜身上有问题。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,二则是不想当场撕破脸罢了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“姐，陆夜如今已是陆家家主，拥有执掌陆家祖传铜印的资格。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘云锋道，“你也说过，这一枚祖传铜印，便是开启陆家祖地秘境的一把钥匙！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这种情况下，秦无伤只要抓住陆夜，陆家祖地秘境中的宝贝，岂不是就要落入秦无伤手中？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖摇头，“陆夜既然敢去赊月楼，必有依仗，秦无伤不见得能得手。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,潘云锋像听到天大的笑话，“秦无伤乃是苍州排名前十的玄炉境武宗！陆夜拿什么去和一位人间武宗对抗？”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,潘盈袖笑道：“不必在意这些，无论秦无伤赢，还是陆夜赢，咱们只需等着看热闹便可！”,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,晨光熹微。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,古老的天河郡城，笼罩在一层淡淡的雾霭中，街巷上已有各种吆喝叫卖声。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜独自一人朝赊月楼行去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“秦无伤这样的千年世家之主，怕是根本瞧不上赊月楼那点财物。”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“他必然是为了我陆家祖地中的秘密而来。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜思忖时，脑海中情不自禁浮现出一个少女身影。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,少女一袭杏黄衣衫，眉目如画，灵秀靓丽，浑身散发着蓬勃明媚的气息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦清璃。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤的嫡女。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,数年前，在陆夜二叔陆星移的撮合下，与陆夜订婚。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,十四岁时，陆夜在皇都参加武道科考，曾和秦清璃多次结伴出游，逛长街、赏灯火、品佳酿……,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,回忆往昔，陆夜心中暗自一叹。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,昏睡三年，世事变迁，人也是会变的！,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,赊月楼是一座典当行，门柱对联上写着：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,赊碧空月辉一缕，
,,【ps：新书来了！诸君，好久不见，见棺发财！】,照人世众生千秋。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在赊月楼后方，便是陆家祖宅。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，我父亲早已在等你，跟我来吧。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜才刚抵达，就见一个高大青年从赊月楼大门走出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他一身墨色战袍，眉目刚毅，背负一把血色剑鞘，看向陆夜的眼神，带着毫不掩饰的排斥和冷意。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,难道昨晚时候，已经有人把自己要来找秦无伤算账的消息泄露出去了？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜心念转动间，早已露出一个灿烂笑容，大步上前，“大舅哥，三年不见，风采更胜往昔啊！”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,战袍青年名叫秦文豹，秦无伤膝下长子，秦清璃的亲哥哥。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,大乾“周天剑府”核心传人！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,早在多年前，就已是大乾年轻一代的风云人物。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜自然和秦文豹不陌生。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这位秦家长子是个“护妹狂魔”，最反感的就是自己这个“未来妹夫”！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“老天还真是瞎了眼，竟让你活了回来！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,眼见陆夜满脸笑容走来，秦文豹心中腻歪极了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“命大，老天爷不收，徒呼奈何？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜耸了耸肩，“大舅哥你该高兴才对，如此一来，清璃就不用守活寡了。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦文豹脸色发黑，抬手握住背后剑柄，差点忍不住想砍人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“格局小了大舅哥，都是一家人，生什么气，走，先去见我未来岳父。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑着一把拉着秦文豹胳膊，走进赊月楼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他不担心秦文豹会动手，这位秦家长子性情傲娇，是有口皆碑的“讲究人”。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你真觉得，自己有资格跟我父亲算账？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦文豹手臂发力，猛地震开陆夜的手，冷冷道，“告诉你，你若识趣一点，以我父亲的气量，断不会为难你一个小辈！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑了笑，没有说什么。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三年时间，的确改变了许多事情，也改变了许多人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一如昨天灵堂上，大嫂潘盈袖妄图鸠占鹊巢，夺取陆家权柄。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而秦家父子则早已霸占赊月楼，住进本属于陆家的祖宅！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“这次若谈不拢……那就只能掀桌了！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心中自语。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在他识海中，一颗暗金色星辰悄然震动了一下，那是十九个“祖师封印”之一。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆家祖宅。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜见到了秦无伤。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这位世家秦氏之主身影高大，双鬓斑白，坐在一张木桌后边，正在翻阅一本古旧书籍。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,气质温润儒雅，像个教书先生。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“见过秦伯父，晚辈此来是打算……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜上前见礼，可还不等说完。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,啪！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤直接扔掉手中书籍，大笑着起身道：“昏睡三年，你小子总算活过来了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,说话时，一脚踹碎挡在身前的桌子，上前一把拽住陆夜胳膊，杀气腾腾道，“走，我带你去杀人！”,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这位秦家之主哪还有什么儒雅气质？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,简直宛如杀神般，浑身都弥散着可怖的凶威，气势骇人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜错愕，“伯父，我这次来……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“还唧唧歪歪什么！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤打断道，“你们陆家的遭遇，我心中门儿清，之前是因为你还没醒，我不方便插手你们陆家的事，现在可就不一样了！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜：“……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“走走走，他妈的敢欺负老子的未来女婿，不管是谁，先杀个痛快，好好出了这一口鸟气！”,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,根本不由陆夜拒绝，秦无伤带着他就要往外走，要大开杀戒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“父亲！我知道你很急，但是你先别急——！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦文豹连忙劝阻。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“滚犊子，没看你未来妹夫家被欺负成什么样了，老子能不急？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤瞪眼，很暴躁，也很霸道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜一时也有些糊涂，自己这未来岳父如此急公好义，难道不知道自己是来算账的？,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“父亲！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦文豹气得直跺脚，“难道你忘了正事？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“正事？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤愣住，旋即一拍脑门，恍然般说道，“也罢，谈完正事再去杀人！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他拉住陆夜，热情地请陆夜坐在一侧座椅上，而后又亲自给陆夜斟了一杯茶。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“伯父，茶可以待会再喝。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜收拢心思，认真道：“如今我陆家遭逢大难，而伯父又不请自来，占据我陆家的祖地，我想知道，这究竟是为何？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,言辞间，隐隐已有质问之意。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤大笑起来，拿出一封信，递给陆夜，“你先看看这封信。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜道：“这是？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“三年前，在你昏迷那天，远在‘九御剑宗’修行的清璃，给我寄了这封亲笔信。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤坐在椅子中，翘着二郎腿，拿起茶碗，仰头一饮而尽。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,未婚妻秦清璃的信？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜有些意外，不动声色地拿过信打开，倒要看看，秦无伤这老登想玩什么花样！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见信中写道：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“父亲，陆夜哥哥的情况，女儿已知悉，寄信给您，只为向您表明女儿的心志。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“女儿宁可这辈子给陆夜守活寡，死都不会改嫁！”,10,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“您若敢逼我，女儿就自杀！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“还请父亲您能体谅，至于宗族和世人如何看，女儿才不在乎！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,落款，秦清璃。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很简短的一封信，可言辞间却尽是决绝之意。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当看完后，陆夜愣在那，手指微颤，心神翻涌。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在决定前来算账时，他早做了最坏打算，并且昨夜就写好了一封退婚的契书。,12,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这么做，就是和秦家彻底划清界限，等算账的时候，便可以放开手脚。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可陆夜万没想到，秦清璃竟然不惜以死相逼，也不改嫁！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,完全是倒反天罡！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这时候，秦无伤再次取出一个玉盒，递给陆夜，“这些你都看看，省得你小子误会！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,玉盒内，是厚厚一沓信件。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这些是在你昏睡这三年，我妹妹寄回的信件，总共一百一十九封，平均每个月就有三封左右，全都和你这家伙有关！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一侧的秦文豹解释了一番，语气酸溜溜的，脸色黑如锅底。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜意识到事情不对劲，拿过玉盒中的信件，一一翻阅。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“父亲，我向师尊求了三颗‘金髓天魂丹’，您可一定要亲手交给陆家，最好能亲自帮陆夜哥哥吞服，为他炼化药力……”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“烦死了……师尊将我禁足，不允许我去探望陆夜哥哥，父亲，就有劳您多费心照看陆夜哥哥了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“妾拟将身嫁与，一生休，纵被无情弃，不能羞！为了女儿不守活寡，父亲您可不能不管陆夜哥哥，呜呜呜……”,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……随着一封封信件看下去，陆夜内心久久无法平静。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他完全没想到，这三年时间里，秦清璃原来一直在牵挂自己。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,为了自己，不惜以死相逼也不改嫁！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不惜去跟宗门求丹药！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,还一次次请托其父亲帮忙……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而在这三年的所有信件中，秦清璃问的最多的一句话就是：,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“父亲，陆夜哥哥醒了吗？”,24,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,——,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,房间内寂静无声。,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,窗棂透过一缕晨光洒在地上，光影中有尘埃翻涌浮动。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜看完那厚厚的一沓信后，久久不语。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他想起昨晚修炼时，体内积累的那许多稀罕灵药力量。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,显然，其中一部分来自宗族，另一部分必然来自秦无伤和秦清璃的“馈赠”！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,归根到底，这次的确是自己误会了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,还好没有第一时间拿出退婚契书。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,否则，自己可就真成了小丑！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，接下来我要说的，才是正事。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤语气低沉道，这位秦家之主就像变了一个人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,眉目如电，威严十足！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,明明吊儿郎当地坐在那，却像一位气吞八荒、俯瞰世间的主宰君王！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,整座房间的氛围骤然压抑下去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,好一个玄炉境人间武宗！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜躯体悄然紧绷，如芒在背。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那种只属于人间武宗无形的威压，动辄能震慑世间修者神魂，有不战而屈人之威，端的是恐怖无边。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,可陆夜心神澄澈，八风不动！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“伯父请讲。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜从容开口。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在域外战场那三年，他什么大世面没见过，和祖师级人物在一起也能谈笑风生。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,玄炉境层次的无形威势，还无法动摇他的心志！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤眼眸中泛起一丝不易察觉的异色，这小子心魄意志竟然如此强大，不简单啊！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,旋即，他神色庄重道：“清璃以死相逼，非你不嫁，我作为父亲和秦家族长，自然尊重清璃的心意。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不过，我很担心现在的你，还没有照顾好清璃的能力。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“现在，我给你两个选择。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“其一，我亲自出手，帮你陆家化解这一场危机！但你要跟我回秦家，等你年满十八岁时，就安排你和清璃成婚。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“如此便可以堵住秦家上下所有人的嘴，谁也不能再反对这门婚事！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜果断摇头道：“我选第二个！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,开什么玩笑，若自己去秦家，岂不是真成上门女婿了？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜也终于明白，为何自己才刚找上门，未来老丈人就要拉着自己去杀人，分明是想借此机会，让自己当上门女婿！
